depth,action,visits,prior_prob,c_puct,puct_explore,mean_q_value,puct_score,Meth_State,el_price,pot_reward
0,3,14,0.200964093208313,1.8329091229351038,0.3189995220240525,7.456125577290853,7.775125099314905,3,3.2939999999999996,95.45028456203596
1,4,4,0.20128034055233002,1.8329091229351038,0.31950151593735443,7.457861423492432,7.777362939429786,4,3.2939999999999996,95.45028456203596
2,3,1,0.0,0.0,0.0,0.0,0.0,3,3.2939999999999996,95.45028456203596
2,4,1,0.0,0.0,0.0,0.0,0.0,4,3.2939999999999996,95.45028456203596
2,1,1,0.0,0.0,0.0,0.0,0.0,1,3.2939999999999996,95.45028456203596
1,3,3,0.20098112523555756,1.8329091229351038,0.3190265577420427,7.442492485046387,7.7615190427884295,3,3.2939999999999996,95.45028456203596
2,1,1,0.0,0.0,0.0,0.0,0.0,1,3.2939999999999996,95.45028456203596
2,3,1,0.0,0.0,0.0,0.0,0.0,3,3.2939999999999996,95.45028456203596
1,1,3,0.1999088078737259,1.8329091229351038,0.3173244192136051,7.427745342254639,7.745069761468244,1,3.2939999999999996,95.45028456203596
2,2,1,0.0,0.0,0.0,0.0,0.0,2,3.2939999999999996,95.45028456203596
2,1,1,0.0,0.0,0.0,0.0,0.0,1,3.2939999999999996,95.45028456203596
1,0,3,0.19980411231517792,1.8329091229351038,0.31715823115183905,7.427233378092448,7.744391609244287,0,3.2939999999999996,95.45028456203596
2,1,1,0.0,0.0,0.0,0.0,0.0,1,3.2939999999999996,95.45028456203596
2,0,1,0.0,0.0,0.0,0.0,0.0,0,3.2939999999999996,95.45028456203596
